"date","hour","Longitude","Latitude","inSmoke"
20060701,9.84011077880859,-101.533966064453,67.460205078125,FALSE
20060701,11.5717258453369,-137.960083007812,49.9411849975586,NA
20060701,11.6247406005859,-142.006286621094,38.6344985961914,NA
20060701,11.6323919296265,-142.521148681641,36.9283676147461,NA
20060701,11.647557258606,-143.440979003906,33.7277793884277,NA
20060701,11.6550731658936,-143.910659790039,32.0174674987793,NA
20060701,13.1818733215332,-158.621826171875,58.034309387207,NA
20060701,19.5314502716064,-106.845352172852,66.7733764648438,FALSE
20060701,22.6761569976807,-140.112533569336,34.664608001709,NA
20060701,22.6838092803955,-140.562515258789,36.2290191650391,NA
20060701,22.7974872589111,-150.949142456055,60.4742240905762,NA
20060703,9.65033721923828,-101.565467834473,64.3159713745117,FALSE
20060703,12.9541149139404,-152.259887695312,62.8067779541016,NA
20060703,12.9692821502686,-154.575988769531,59.5774345397949,NA
20060703,20.8836135864258,-116.590423583984,47.649471282959,FALSE
20060703,20.9214611053467,-120.225883483887,55.6400680541992,TRUE
20060703,22.5773811340332,-145.894577026367,57.3424110412598,NA
20060703,22.5848960876465,-146.856018066406,58.9355850219727,NA
20060703,22.6228809356689,-153.212326049805,66.7811737060547,NA
20060704,10.4174308776855,-118.715034484863,54.8002815246582,TRUE
20060704,10.4780979156494,-123.996322631836,41.852222442627,FALSE
20060704,19.9496040344238,-102.08757019043,46.0739707946777,TRUE
20060704,19.9513969421387,-102.236892700195,46.4719352722168,TRUE
20060704,19.9644908905029,-103.335800170898,49.2555732727051,TRUE
20060704,19.9719352722168,-104.010437011719,50.8421173095703,TRUE
20060704,19.9737300872803,-104.185043334961,51.238094329834,TRUE
20060704,19.9774494171143,-104.542114257812,52.0299530029297,TRUE
20060704,19.9848957061768,-105.289337158203,53.6104507446289,TRUE
20060704,19.9886169433594,-105.680847167969,54.3992233276367,TRUE
20060704,19.9905471801758,-105.881393432617,54.7930564880371,TRUE
20060704,19.9923400878906,-106.08553314209,55.186939239502,TRUE
20060704,21.63108253479,-129.811096191406,53.1996459960938,FALSE
20060704,21.6385250091553,-130.593902587891,54.7769317626953,NA
20060705,11.2074337005615,-135.356796264648,40.1867218017578,NA
20060705,11.2301158905029,-136.836624145508,35.2850532531738,NA
20060705,12.7720804214478,-152.462982177734,58.027530670166,NA
20060705,12.7872476577759,-154.274551391602,54.7581405639648,NA
20060705,12.8100643157959,-156.522659301758,49.9257354736328,NA
20060705,20.5875110626221,-107.445854187012,28.0287094116211,NA
20060705,20.6633453369141,-112.28987121582,44.3802337646484,FALSE
20060705,20.7391777038574,-120.008796691895,60.3997917175293,FALSE
20060705,20.7543430328369,-122.437507629395,63.6204414367676,NA
20060705,22.2355861663818,-132.16520690918,28.019868850708,NA
20060705,22.2507514953613,-133.001907348633,31.2294979095459,NA
20060706,21.3331146240234,-119.644371032715,33.2347564697266,NA
20060706,21.3423538208008,-120.209678649902,35.2438468933105,FALSE
20060706,21.3572406768799,-121.160369873047,38.4547309875488,FALSE
20060706,21.3666133880615,-121.787391662598,40.4569931030273,FALSE
20060706,21.374059677124,-122.310607910156,42.0576438903809,FALSE
20060706,21.3758525848389,-122.444328308105,42.4569931030273,FALSE
20060706,21.3907413482666,-123.568336486816,45.6504135131836,FALSE
20060706,21.4019069671631,-124.480941772461,48.0392265319824,FALSE
20060707,12.620156288147,-154.732696533203,46.7003593444824,NA
20060707,12.6884737014771,-159.384628295898,32.0141944885254,NA
20060707,22.0460910797119,-129.93196105957,31.2782707214355,NA
20060707,22.0915908813477,-132.811569213867,41.0915946960449,NA
20060707,23.6867389678955,-154.250930786133,29.7503452301025,NA
20060707,23.6943855285645,-154.665405273438,31.3190250396729,NA
20060707,23.7247200012207,-156.545745849609,37.9390525817871,NA
20060707,23.7398891448975,-157.548492431641,41.1320724487305,NA
20060707,23.755054473877,-158.680404663086,44.459888458252,NA
20060708,9.98465538024902,-109.772964477539,59.6044158935547,NA
20060708,10.0604877471924,-117.248931884766,43.5668563842773,FALSE
20060708,11.6934261322021,-140.814407348633,46.7443733215332,NA
20060708,11.708592414856,-141.969009399414,43.5665168762207,NA
20060708,11.7844247817993,-146.754486083984,27.1368751525879,NA
20060708,21.1317615509033,-116.781867980957,34.0273666381836,FALSE
20060708,21.1597480773926,-118.573318481445,40.0459938049316,FALSE
